NAME,X-min,Y-min,Z-min,X,Y,Z,wall 1,wall 2,wall 3,wall 4,wall 5,wall 6
284,1492,-1202,940,1.492,-1.202,0.94,1905454,2036552,2039543,2242859,0,0
299,1372,8187,940,1.372,8.187,0.94,1906476,1798556,2035947,1905639,2286169,2036552
302,-1987,2027,1110,-1.987,2.027,1.11,1966157,2036552,1876268,1905380,2035149,2035148
322,-1987,8437,1110,-1.987,8.437,1.11,1798557,2205122,2286169,1876268,0,0
324,1372,10737,904,1.372,10.737,0.904,2205122,1798556,2035947,2286169,0,0
325,1492,3827,940,1.492,3.827,0.94,2029033,2036552,2039543,1905454,0,0
326,-1987,-1202,904,-1.987,-1.202,0.904,1966157,2242589,1798557,2036552,0,0
327,-1987,7097,990,-1.987,7.097,0.99,2035146,2035148,1876268,1798557,0,0
